Title,Company,Experience,Salary,Location,Skills,Link
Employer Branding Assistant,Global Pueblo Solutions,0-1 Yrs,Not disclosed,"Mohali, S.A.S. Nagar","Administration, Data analysis, Content management, Networking, Social media, Project management, Employee engagement, Project planning",https://www.naukri.com/job-listings-employer-branding-assistant-global-pueblo-solutions-mohali-s-a-s-nagar-0-to-1-years-100723500339
Engineer/Sr Engineer - Dot Net,"Railway signaling , design & engineering solutions.",4-9 Yrs,7-9.5 Lacs PA,Bengaluru(JP Nagar),"Net core, Postgresql, SQL, SR, DoT, Core, Engineering, .Net Core",https://www.naukri.com/job-listings-engineer-sr-engineer-dot-net-teamlease-services-limited-bengaluru-4-to-9-years-020425007071
Dot Net Core Developer-4-12Y-PWC AC,PwC Service Delivery Center,4-9 Yrs,Not disclosed,"Pune, Chennai, Bengaluru",".Net Core, Asp.Net Core, Asp.Net Core Mvc, DoT, ASP.Net, .Net, Ac, Core",https://www.naukri.com/job-listings-dot-net-core-developer-4-12y-pwc-ac-pwc-service-delivery-center-pune-chennai-bengaluru-4-to-9-years-250325014025
Marketing Executives/MBA Internship - Top Poster Colors Bakin Paints,Gips Consultancy,0-5 Yrs,"80,000-3 Lacs PA","Pune, Mumbai (All Areas)","Business Development, Field Marketing, Calling, Marketing Campaigns, Sales Promotion, sales, Trade Shows, Meeting Planning",https://www.naukri.com/job-listings-marketing-executives-mba-internship-top-poster-colors-bakin-paints-gips-consultancy-pune-mumbai-all-areas-0-to-5-years-240325003192
Internship Trainee,Texinvento Fashion Exports,0-4 Yrs,"60,000-2.4 Lacs PA",New Delhi(Khanpur),"Cold Calling, Sales, Lead Generation, Calling, Cold, Training, Generation",https://www.naukri.com/job-listings-internship-trainee-texinvento-fashion-exports-new-delhi-0-to-4-years-290325008586
Software Intern -Freshers,Irohub Infotech,0 Yrs,Not disclosed,"Hybrid - Kochi(Padamughal), Ernakulam(Kakkanad)","Ui/Ux, Ux Design, Software Testing, Digital Marketing, Power Bi, Mobile Development, Artificial Intelligence, live-project",https://www.naukri.com/job-listings-software-intern-freshers-irohub-infotech-kochi-ernakulam-0-to-0-years-171024030062
Internship Trainee,Walkaroo International,0-1 Yrs,"50,000-1 Lacs PA",Coimbatore,"Internship, Data management, production, Advanced Excel, Excel, Management, Data, Training",https://www.naukri.com/job-listings-internship-trainee-walkaroo-international-coimbatore-0-to-1-years-270325014921
Opening For Dot Net Developer Fresher @Andheri,SQUAD Infotech Private Ltd,0 Yrs,Not disclosed,Mumbai,".Net, development, dot",https://www.naukri.com/job-listings-opening-for-dot-net-developer-fresher-andheri-squad-infotech-private-ltd-mumbai-0-to-0-years-291118600519
Internship Trainee,Visys Cloud Technologies,,Not disclosed,,"Marketing Research, Research Analysis, Marketing Analytics, Consumer Insights, Research, Analysis, Consumer Insight, Market research",https://www.naukri.com/job-listings-internship-trainee-visys-cloud-technologies-vijayawada-hyderabad-0-to-1-years-270325007768
Fresher - Java - Dot Net( Trained Candidates Required),Sairam Global Technologies,0-1 Yrs,3.5-4 Lacs PA,"Bhubaneswar, Visakhapatnam, Hyderabad","Java, Dotnet Development, dotnet, Javascript, Spring, Hibernate, Spring Mvc, Full Stack",https://www.naukri.com/job-listings-fresher-java-dot-net-trained-candidates-required-sairam-global-technologies-bhubaneswar-visakhapatnam-hyderabad-0-to-1-years-270325025564
Opening For Dot Net Developer Fresher @Mulund,SQUAD Infotech Private Ltd,0 Yrs,Not disclosed,Mumbai,"C#, .Net, HTML, Asp.Net, SQL, dot, development",https://www.naukri.com/job-listings-opening-for-dot-net-developer-fresher-mulund-squad-infotech-private-ltd-mumbai-0-to-0-years-291118600580
Production Trainee,Prolegion,0-1 Yrs,Not disclosed,Chennai,"quality control, production, equipment maintenance, equipment, autocad, material planning, production management, manpower handling",https://www.naukri.com/job-listings-production-trainee-prolegion-chennai-0-to-1-years-040425500706
Trainee Engineer- Mechanical Department,Resolve Biotech Pvt Ltd,0-2 Yrs,Not disclosed,"Mumbai Suburban, Mumbai (All Areas)(Andheri East)","3D Modeling, CATIA, 3D Printing, 3D, AutoCAD, Ansys, Design Engineering, Mechanical Engineering",https://www.naukri.com/job-listings-trainee-engineer-mechanical-department-resolve-biotech-pvt-ltd-mumbai-suburban-mumbai-all-areas-0-to-2-years-180325022323
Mechanical Engineer - Production & Design,Colorado,0-3 Yrs,2.25-3.75 Lacs PA,Bengaluru(Rajaji Nagar),"AutoCAD, Solid Works, Mechanical Engineer, Design, Production, Production Engineering, Design Engineering, Mechanical Engineering",https://www.naukri.com/job-listings-mechanical-engineer-production-design-colorado-bengaluru-0-to-3-years-130325918256
Dot NET Developer - Fresher,Brilino Solutions,0-1 Yrs,Not disclosed,Mumbai,"MS SQL, jQuery, Web development, Debugging, Consulting, Javascript, HTML, MVC",https://www.naukri.com/job-listings-dot-net-developer-fresher-brilino-solutions-mumbai-0-to-1-years-300724502124
Junior Talent Acquisition (MBA Freshers only),Aeries Technology,0-1 Yrs,Not disclosed,"Mumbai, Bangalore Rural, Mumbai (All Areas)","Talent Acquisition, End To End Recruitment, Recruitment Coordinator, Sourcing, Shortlisting, Talent Sourcing, Interviewing, Recruitment",https://www.naukri.com/job-listings-junior-talent-acquisition-mba-freshers-only-aeries-technology-mumbai-bangalore-rural-mumbai-all-areas-0-to-1-years-110325024420
Dot Net Developer Intern,Vaibhav Global,,"10,000/month",Jaipur,,https://www.naukri.com/job-listings-dot-net-developer-intern-vaibhav-global-ltd-jaipur-0-to-1-years-270225502206
Executive-Purchase,Siemens,0-5 Yrs,Not disclosed,Aurangabad,"Procurement, Material management, Manager Quality Assurance, Demand planning, Manufacturing process, SAP PP, Senior Executive, Analytical",https://www.naukri.com/job-listings-executive-purchase-siemens-limited-aurangabad-0-to-5-years-180225501848
Dot Net Developer (MVC and Core),Distinct Technology,0-2 Yrs,Not disclosed,Nagpur,"jQuery, Front end, Coding, Debugging, Javascript, Agile, HTML, MVC",https://www.naukri.com/job-listings-dot-net-developer-mvc-and-core-distinct-technology-nagpur-0-to-2-years-030425503067
Software Tester,Crimson Interactive,0-5 Yrs,Not disclosed,"Mumbai Suburban, Mumbai (All Areas)","Selenium Webdriver, Automation Testing, Java, QA Testing, Eclipse, Manual Testing, QA Automation, Python",https://www.naukri.com/job-listings-software-tester-crimson-interactive-mumbai-suburban-mumbai-all-areas-0-to-5-years-220325005354
Dot Net Developer,Mobitrail,0-2 Yrs,Not disclosed,Mumbai (All Areas),"C#, .Net Core, ASP.Net, MVC, .Net MVC, Web Api, Azure, Javascript",https://www.naukri.com/job-listings-dot-net-developer-mobitrail-mumbai-all-areas-0-to-2-years-250325013068
Designer Steam Turbines (Service Engineering),Siemens,8-13 Yrs,Not disclosed,Gurugram,"Service Engineering, 2D, SAP, AutoCAD, Pro-E, NX, 3D design, Servicing",https://www.naukri.com/job-listings-designer-steam-turbines-service-engineering-siemens-limited-gurugram-8-to-13-years-030425919769
Dot Net Developer,Harjai Computers,0-5 Yrs,Not disclosed,Mumbai (All Areas),"Web Api, ASP.Net, Dotnet Development, Angular, SQL, DoT, .Net, Development",https://www.naukri.com/job-listings-dot-net-developer-harjai-computers-mumbai-all-areas-0-to-5-years-280325011071
Drilling Engineer,Web Solution Centre,4-7 Yrs,Not disclosed,Mumbai,"petroleum engineering, drilling, drilling engineering, oil, petroleum, contract management, project management, exploration",https://www.naukri.com/job-listings-drilling-engineer-web-solution-centre-mumbai-4-to-7-years-190325925136
Opening For Dot Net Developer Fresher @Thane,SQUAD Infotech Private Ltd,0 Yrs,Not disclosed,Mumbai,"C#, .Net, HTML, SQL, dot, development",https://www.naukri.com/job-listings-opening-for-dot-net-developer-fresher-thane-squad-infotech-private-ltd-mumbai-0-to-0-years-291118600492
Dot NET Trainee,Teknorix,0-1 Yrs,Not disclosed,"Panaji, verna,goa","Object oriented design, Software design, Analytical, Postgresql, MySQL, Javascript, Programming, Net Trainee",https://www.naukri.com/job-listings-dot-net-trainee-teknorix-systems-panaji-verna-goa-0-to-1-years-070920500538
HR Executive ( FTM ),ITC,0-1 Yrs,Not disclosed,Kolkata,"HR Executive, Media strategy, Process documentation, Social media, Corporate, hrbp, HR, FMCG",https://www.naukri.com/job-listings-hr-executive-ftm-itc-ltd-kolkata-0-to-1-years-040325503937
Dot Net Developer - Fresher,Prerak Infotech,0-1 Yrs,Not disclosed,Mumbai,"jQuery, Web technologies, XML, Agile development, Web development, ASP.Net, MVC, SQL",https://www.naukri.com/job-listings-dot-net-developer-fresher-prerak-infotech-mumbai-0-to-1-years-280622500816
Software Trainee ASP dot net,Mayank Soft,0-2 Yrs,Not disclosed,Panchkula,"PGDCA, Web technologies, Software Trainee, Javascript, Manager Technology, ASP.Net, Windows, DoT",https://www.naukri.com/job-listings-software-trainee-asp-dot-net-mayank-soft-panchkula-0-to-2-years-020424501433
Technician - MPDM,Flex,0-2 Yrs,Not disclosed,Chennai,"Technician, BOM, NPI Engineering, PLM software, ECO process, New Product Introduction, Software, Eco",https://www.naukri.com/job-listings-technician-mpdm-flextronics-technologies-i-pvt-ltd-chennai-0-to-2-years-100325920608
HR Intern Recruiter or Freelancer HR Recruiter WFH,Career Maker Consultancy,0-5 Yrs,"50,000-3 Lacs PA","Noida, Bhopal, Jabalpur, Pune, Lucknow, Mumbai (All Areas)","IT Recruitment, Bpo Recruitment, Bfsi Recruitment, BPO Hiring, Non IT Recruitment, intership, Lateral Hiring, Volume Hiring",https://www.naukri.com/job-listings-hr-intern-recruiter-or-freelancer-hr-recruiter-wfh-career-maker-consultancy-noida-bhopal-jabalpur-pune-lucknow-mumbai-all-areas-0-to-5-years-200325022234
Opening For Dot net Developer Trainee @ Noida,SQUAD Infotech Private Ltd,0 Yrs,Not disclosed,Noida,"C#, .Net, MVC, SQL Server, server, sql, dot, serv",https://www.naukri.com/job-listings-opening-for-dot-net-developer-trainee-noida-squad-infotech-private-ltd-noida-0-to-0-years-280120600392
Trainee Mechanical Engineer,Raj Process Equipments And System,0-1 Yrs,2.5 Lacs PA,Hybrid - Pune,"Production Engineer, Mechanical Engineering, Production, Production engineering, Engineering, Mechanical, Training",https://www.naukri.com/job-listings-trainee-mechanical-engineer-raj-process-equipments-and-system-pune-0-to-1-years-030924005324
Design and Production Engineer,Technik Spirits,0-3 Yrs,Not disclosed,Ahmedabad,"Excel, AutoCAD, Time management, Sheet metal, Mechanical, Performance testing, Design development, Production department",https://www.naukri.com/job-listings-design-and-production-engineer-technik-spirits-ahmedabad-0-to-3-years-141024502139
DOT NET Trainee,Vyapin Software Systems,0-1 Yrs,Not disclosed,Chennai,"System architecture, Interpersonal skills, Web services, SOA, XML, Architectural design, WPF, ASP.Net MVC",https://www.naukri.com/job-listings-dot-net-trainee-vyapin-software-systems-p-ltd-chennai-0-to-1-years-150922501554
Dot Net Developer - {PAN INDIA},Infosys,2-6 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru",".Net, C#, ASP.Net, MVC, DoT, Pan, Development",https://www.naukri.com/job-listings-dot-net-developer-pan-india-infosys-hyderabad-pune-bengaluru-2-to-6-years-270325014440
C# Dot Net Developer,Websmith Solution,0-1 Yrs,Not disclosed,"Mumbai, Ahmedabad, Rajkot","MS SQL, jQuery, Coding, Javascript, JSON, Medical insurance, WCF, Selenium",https://www.naukri.com/job-listings-c-dot-net-developer-websmith-solution-mumbai-ahmedabad-rajkot-0-to-1-years-041224502533
DOT NET MVC Developer,Markstein Technology Solutions Pvt. Ltd.,0-2 Yrs,Not disclosed,"Noida, Mumbai, Gwalior, Sagar","MS SQL, jQuery, LINQ, Coding, Entity framework, HTML, ASP.Net MVC, SQL",https://www.naukri.com/job-listings-dot-net-mvc-developer-markstein-technology-solutions-pvt-ltd-noida-mumbai-gwalior-sagar-0-to-2-years-061224501626
Dot Net Developer,Turbotrack Asset Solutions,0-3 Yrs,1.75-4.5 Lacs PA,Pune(Lullanagar),"C#, Angular, SQL, Asp.Net MVC, Azure, MySQL, API, React",https://www.naukri.com/job-listings-dot-net-developer-turbotrack-asset-solutions-pvt-ltd-pune-0-to-3-years-270325014589
Dot Net Developer,Milestone Infosoft Solutions,0-3 Yrs,Not disclosed,Mumbai,"Project development, Front end, End, Development, Project, .Net, Front, DoT",https://www.naukri.com/job-listings-dot-net-developer-milestone-infosoft-solutions-private-limited-mumbai-0-to-3-years-211124507510
Dot NET FULL STACK DEVELOPER,Godigi Infotech,4-6 Yrs,Not disclosed,"Mumbai, Hyderabad, Pune, Ahmedabad, Bengaluru","Design development, Effort estimation, Deployment, ASP.Net, MVC, Unit testing, SQL Azure, Core PHP",https://www.naukri.com/job-listings-dot-net-full-stack-developer-godigi-infotech-mumbai-hyderabad-pune-ahmedabad-bengaluru-4-to-6-years-100524501465
DOT NET Developer,Infosys,3-8 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru",".Net, ASP.Net, ASP.Net MVC, Dotnet Development, dot net developer, LINQ, ADO.Net, Net Development",https://www.naukri.com/job-listings-dot-net-developer-infosys-pune-chennai-bengaluru-3-to-8-years-030425017768
Dot net Developer - Bangalore.,Infosys,6-11 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru",".Net, .Net Core, ASP.Net, DoT, Development, Core",https://www.naukri.com/job-listings-dot-net-developer-bangalore-infosys-pune-chennai-bengaluru-6-to-11-years-180325017194
Web Designer/Graphic Designer,Arokia It,3-5 Yrs,Not disclosed,Mumbai,"Sound Editing, Flash Designing, CSS, HTML, Adobe Captivate, 3Ds Max, Flash Designer, Graphic Designer",https://www.naukri.com/job-listings-web-designer-graphic-designer-arokia-it-pvt-limited-mumbai-3-to-5-years-280318502328
"Internship Trainee - Spares Inventory, Logistics,Hyderbad",Wikilabs India,0-1 Yrs,"90,000-1.25 Lacs PA",Hyderabad,"Excellent Communication In English, Supply Chain Management, Business Administration, Microsoft Office Suite, Microsoft, Logistics, Management, Inventory",https://www.naukri.com/job-listings-internship-trainee-spares-inventory-logistics-hyderbad-wikilabs-india-hyderabad-0-to-1-years-100325006745
Freshers ONLY - Management Trainees - B.Tech/MBA/ B.Com/MCA/BCA/BSc,Principle Circle Innovations Llp,0-1 Yrs,3-4.5 Lacs PA,"Hyderabad, Bengaluru","Entry Level, Fresher Hiring, Freshers, Hiring, Management, Training management, Training",https://www.naukri.com/job-listings-freshers-only-management-trainees-b-tech-mba-b-com-mca-bca-bsc-principle-circle-innovations-llp-hyderabad-bengaluru-0-to-1-years-040425017951
Internship Program,VacationLabs,,Unpaid,Panaji,,https://www.naukri.com/job-listings-internship-program-vacation-labs-panaji-0-to-1-years-240320501419
Trainee,DEM Infra,0-2 Yrs,Not disclosed,Mumbai,"quality control, mechanical engineering, production, training, quality monitoring, autocad, automobile, quality analysis",https://www.naukri.com/job-listings-trainee-dem-infra-mumbai-0-to-2-years-180225500938
HR Executive - L&D,Godrej Infotech,0-1 Yrs,1-4 Lacs PA,Mumbai (All Areas),"Learning And Development, Training And Development, Employee Engagement, Engagement, Development, Development, Training, Hrsd",https://www.naukri.com/job-listings-hr-executive-l-d-godrej-infotech-mumbai-all-areas-0-to-1-years-180325010370
"Internship Trainee - Vendor Management, Logistics, Hyderabad",Wikilabs India,0-1 Yrs,"90,000-1.25 Lacs PA",Hyderabad,"Excellent Communication In English, Vendor Management, Business Administration, Microsoft Office Suite, Microsoft, English, Office, MS Office",https://www.naukri.com/job-listings-internship-trainee-vendor-management-logistics-hyderabad-wikilabs-india-hyderabad-0-to-1-years-100325006840
Mechanical Engineer - Fresher (for Bangalore),Human Network,0-1 Yrs,1.5-1.75 Lacs PA,Bengaluru,"Production, Mechanical engineering, Mechanical",https://www.naukri.com/job-listings-mechanical-engineer-fresher-for-bangalore-human-network-bengaluru-0-to-1-years-040425020888
Internship Trainee/ Business Development Representative,Prolific Hr Consultants,,"40,000/month",Bengaluru(Sector 3 HSR Layout ),,https://www.naukri.com/job-listings-internship-trainee-business-development-representative-prolific-hr-consultants-bengaluru-0-to-1-years-270325027199
Dot Net Fullstack Developer,Smart Placement Services,0 Yrs,4-6 Lacs PA,Hybrid - Pune,"C#, Dotnet Development, Asp.Net Web Api, Asp.Net Core Mvc, .Net Core, Net Mvc, .Net, ASP.Net",https://www.naukri.com/job-listings-dot-net-fullstack-developer-smart-placement-services-pune-0-to-0-years-020425027130
